BTNum	Lemma	POS	Forms
24170	ofer-m+agen	Noun	ofer-m+agen
24171	ofer-m+aned	Adjective	ofer-m+aned
24172	ofer-m+astan	Verb	ofer-m+astan
24173	ofer-m+ate	Adjective	ofer-m+ate
24174	oferm+at-lic	Adjective	oferm+at-lic
24175	ofer-m+atu (o)	Noun	ofer-m+atu (o)
24176	ofer-ma+dum	Noun	ofer-ma+dum
24177	ofer-mede	Noun	ofer-mede;ofer-medu
24178	ofer-mede	Adjective	ofer-mede
24179	ofer-medla	Noun	ofer-medla
2418	a-sweartian	Verb	a-sweartian
24181	ofer-mete	Noun	ofer-mete
24182	ofer-mettu (o)	Noun	ofer-mettu (o)
24183	ofer-micel	Adjective	ofer-micel
24184	ofer-micelness	Noun	ofer-micelness
24185	ofer-mod	Noun	ofer-mod
24186	ofer-mod	Adjective	ofer-mod
24187	ofer-modig	Adjective	ofer-modig
24188	ofer-modigian	Verb	ofer-modigian
24189	ofer-modigness	Noun	ofer-modigness
2419	a-swebban	Verb	a-swebban
24190	ofer-modigung	Noun	ofer-modigung
24191	ofermod-lic	Adjective	ofermod-lic
24192	ofermodlice	Adverb	ofermodlice
24193	ofer-modness	Noun	ofer-modness
24194	ofer-nid	Noun	ofer-nid
24195	ofer-niman	Verb	ofer-niman
24196	ofer-non	Noun	ofer-non
24197	ofer-r+adan	Verb	ofer-r+adan
24198	ofer-ranc	Adjective	ofer-ranc
24199	ofer-reccan	Verb	ofer-reccan
242	a-cyrrednes	Noun	a-cyrrednes
2420	a-swefecian	Verb	a-swefecian
24200	ofer-renc	Noun	ofer-renc
24201	ofer-ricsian	Verb	ofer-ricsian
24202	ofer-ridan	Verb	ofer-ridan
24203	ofer-rowan	Verb	ofer-rowan
24204	ofers+a-lic	Adjective	ofers+a-lic
24205	ofer-s+alig	Adjective	ofer-s+alig
24206	ofer-s+al+t	Noun	ofer-s+al+t
24207	ofers+awisc	Adjective	ofers+awisc
24208	ofer-sawan	Verb	ofer-sawan;ofer-gesawan
24209	ofer-sceadwian	Verb	ofer-sceadwian
2421	a-swefed	Verb	a-swefed
24210	ofer-sceatt	Noun	ofer-sceatt
24211	ofer-sceawian	Verb	ofer-sceawian
24212	ofer-sceawigend	Noun	ofer-sceawigend
24214	ofer-scinan	Verb	ofer-scinan
24215	ofer-scuwan	Verb	ofer-scuwan
24216	ofer-seam	Noun	ofer-seam
24217	ofer-secan	Verb	ofer-secan
24218	ofer-segl	Noun	ofer-segl
24219	ofer-seglian	Verb	ofer-seglian
2422	a-swellan	Verb	a-swellan
24220	ofer-sendan	Verb	ofer-sendan
24221	ofer-seocness	Noun	ofer-seocness
24222	ofer-seolfrian	Verb	ofer-seolfrian
24223	ofer-seon	Verb	ofer-seon
24224	ofer-siman	Verb	ofer-siman
24225	ofer-sittan	Verb	ofer-sittan
24226	ofer-sl+ap	Noun	ofer-sl+ap
24227	ofer-slean	Verb	ofer-slean
24228	ofer-slege	Noun	ofer-slege
24229	ofer-slop	Noun	ofer-slop
2423	a-sweltan	Verb	a-sweltan
24230	ofer-slype	Noun	ofer-slype
24231	ofer-smeaung	Noun	ofer-smeaung
24232	ofer-spr+ac	Noun	ofer-spr+ac
24233	ofer-spr+ace	Adjective	ofer-spr+ace
24234	ofer-spr+adan	Verb	ofer-spr+adan
24235	ofer-sprecan	Verb	ofer-sprecan
24236	ofer-sprecol	Adjective	ofer-sprecol
24237	ofer-sprecolness	Noun	ofer-sprecolness
24238	ofer-st+alan	Verb	ofer-st+alan
24239	ofer-steall	Noun	ofer-steall
2424	a-swengan	Verb	a-swengan
24240	ofer-stealla	Noun	ofer-stealla
24241	ofer-stellan	Verb	ofer-stellan
24242	ofer-steppan	Verb	ofer-steppan
